ZipCode,MEAN_Total_Time,COUNT_Total_Time,STD_Total_Time
20105,35.52162196,5,7.571895862
20106,65.58858024,5,5.526628026
20109,28.55185161,5,5.526487274
20110,31.17544856,5,3.886191973
20111,28.5444827,5,4.100334557
20112,40.35878803,5,10.24257174
20115,79.5675538,5,5.526628026
20117,54.28698207,5,7.572500953
20119,62.20785657,5,5.518535616
20120,23.87195186,5,5.582519509
20121,23.32288721,5,5.517265163
20124,27.33495584,5,4.35772748
20129,43.81334855,5,8.197416955
20130,64.19141318,5,5.95292125
20132,48.11793305,5,8.197416955
20135,59.41490549,5,8.198187817
20136,38.28913098,5,5.526530398
20137,47.82776931,5,5.526628026
20141,53.40480105,5,8.198187817
20143,38.35848309,5,5.526487274
20147,36.02457134,5,8.194132075
20148,32.96255132,5,8.194132075
20151,24.61168296,5,7.571081224
20152,32.26343895,5,7.571791072
20155,33.02218504,5,5.526487274
20158,45.08239021,5,8.197416955
20164,27.0683459,5,7.745283348
20165,30.87849,5,7.674126873
20166,27.23907917,5,8.194132071
20169,36.90672512,5,5.526487274
20170,21.55255844,5,9.174541074
20171,23.73017803,5,9.579931364
20175,31.94299456,5,8.194132075
20176,38.49118139,5,8.197416955
20180,51.96815674,5,2.627543163
20181,42.37475917,5,3.847325869
20184,59.55490101,5,7.572651809
20186,52.71133914,5,5.526628026
20187,47.51056717,5,5.526628026
20190,19.31819715,5,5.483679184
20191,19.99309924,5,6.992397532
20194,21.77856362,5,6.81558658
20198,46.19834327,5,5.526628026
22003,14.30034232,5,5.814585905
22015,20.25937353,5,6.948433406
22025,30.89374776,5,8.0183059
22026,28.01491639,5,8.016886718
22027,14.44641713,5,5.646807178
22030,17.19991318,5,6.608186441
22031,13.48050893,5,9.321871648
22032,21.04963705,5,6.047345172
22033,20.58626255,5,6.175830947
22035,19.25934236,5,5.971955295
22039,22.16273104,5,9.289909734
22041,15.91758407,5,2.313183216
22042,13.02998576,5,7.325163405
22043,12.75525727,5,6.055383579
22044,14.64492834,5,3.811112717
22046,13.79098868,5,4.251267186
22060,24.0719625,5,5.790188824
22066,23.56150963,5,3.031426714
22079,16.95732351,5,6.137580143
22101,16.13095229,5,2.033156657
22102,13.72444788,5,3.848201364
22124,19.82073871,5,6.802791955
22134,32.12827756,5,8.017906316
22150,13.66260531,5,4.38284969
22151,15.91876534,5,4.805044542
22152,18.17309052,5,7.698705209
22153,20.01708711,5,9.981101918
22172,27.76657509,5,8.017594674
22180,16.14273205,5,8.716050507
22181,18.60452732,5,7.222535713
22182,17.28858164,5,2.928543291
22191,23.26264558,5,9.058831888
22192,24.35086186,5,10.95314168
22193,29.30460327,5,10.12130306
22201,11.86065139,5,1.426522391
22202,13.19109131,5,2.803225778
22203,13.50398818,5,0.721673456
22204,14.43096398,5,0.636963041
22205,12.61849943,5,1.942247805
22206,14.50387987,5,0.832985303
22207,13.35047787,5,0.956274369
22209,10.2693905,5,2.370318861
22211,14.03690697,5,2.008450976
22213,13.31627431,5,3.646239868
22301,17.00115899,5,1.178374645
22302,14.69187164,5,0.748493378
22303,19.16426268,5,0.96191742
22304,16.6739307,5,1.70129946
22305,15.51098822,5,1.591846031
22306,22.73745557,5,0.154229173
22307,20.92244724,5,0.409313127
22308,27.58425544,5,0.46951149
22309,23.41420931,5,3.845099917
22310,17.46743033,5,2.899857996
22311,15.51586166,5,0.797406413
22312,15.0389633,5,2.07058866
22314,18.28884435,5,0.676219404
22315,17.53716649,5,4.73406605
22401,46.76885609,5,7.01098596
22405,51.72985834,5,8.018956798
22406,47.64066324,5,8.018956798
22407,53.62617727,5,6.349211435
22408,60.02216445,5,5.521106563
22427,60.77194566,5,7.50920358
22435,103.3427719,5,13.42540496
22436,84.25081968,5,5.312390074
22437,88.33421322,5,4.027118796
22438,82.15172571,5,1.914445448
22443,98.56760939,5,1.98197322
22448,86.11383808,5,3.016370197
22454,77.87395546,5,15.63718763
22460,109.2845261,5,13.42540496
22469,105.7220985,5,13.42540496
22473,126.9614864,5,2.995095432
22480,94.92197445,5,2.998248571
22482,98.70267447,5,2.998248571
22485,79.22145606,5,5.556107469
22488,112.4252443,5,13.42540496
22503,121.1989268,5,2.997012775
22508,80.14486424,5,6.620974705
22511,115.206443,5,12.77747401
22514,53.09124468,5,11.96674816
22520,111.8208215,5,6.855575871
22529,97.49169691,5,13.42540496
22534,63.53784819,5,4.567485957
22538,67.78971956,5,2.476629888
22539,124.0574525,5,2.883243292
22546,39.91958819,5,10.27373188
22551,67.57526857,5,2.02739448
22553,58.92074201,5,6.254885364
22554,34.61754126,5,8.018778827
22556,41.54024217,5,8.018778827
22560,85.16564393,5,13.36276982
22567,70.93305239,5,5.659073757
22572,87.70326388,5,13.42445327
22576,102.0536034,5,2.998248571
22578,98.87759673,5,2.998248571
22580,57.57871839,5,4.099561663
22601,72.57244562,5,8.123856352
22602,72.03510341,5,8.103987676
22603,77.16204732,5,7.69125476
22610,76.48295326,5,9.686116171
22611,63.59600239,5,7.788876809
22620,69.8716986,5,7.101775336
22624,77.15628836,5,5.688861302
22625,92.92739298,5,8.151960857
22630,68.79067982,5,4.263759612
22637,89.20194926,5,8.386353777
22639,66.61829105,5,5.526628026
22640,82.65033105,5,3.908873112
22642,69.13283006,5,5.064595691
22643,53.40338095,5,5.526628026
22644,75.01998071,5,17.00367502
22645,66.47758734,5,8.53651078
22650,120.2961125,5,16.80794899
22652,98.98916837,5,21.63253434
22654,89.04945152,5,11.66350357
22655,73.73600865,5,8.036208484
22656,76.95265604,5,7.464459595
22657,70.37861262,5,11.38184854
22663,70.49544093,5,4.9622174
22664,81.22846628,5,22.23070916
22701,73.36235359,5,10.36601433
22709,66.69190228,5,19.74241673
22712,64.30852163,5,4.096612735
22713,89.99468325,5,5.238904702
22714,71.7221793,5,3.319149803
22715,69.74222919,5,21.26952217
22720,69.19315618,5,8.010444546
22726,80.82731879,5,6.258271363
22727,72.03835562,5,28.33252134
22728,65.51117609,5,4.347441851
22733,84.41784262,5,16.81396837
22734,66.30480045,5,4.320651167
